-nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
0.143, 0.143, 0.5715, 0.4287, 0.8572, 0.4287, 0.7144, 0.5715, 0.3572, 0.8572, 0.4287, 0.143, 0.143, 0.8572, 0.8572, 0.8572, 0.5715, 0.143, 0.4287, 0.0001
0.143, 0.143, 0.143, 0.5715, 0.4287, 0.2144, 0.143, 0.0001, 1, 0.2858, 0.8572, 0.5715, 0.143, 0.0001, 0.8572, 0.8572, 0.143, 0.143, 1, 0.5715
1, 0.5715, 0.143, 0.8572, 0.6858, 0.8572, 0.7144, 0.0001, 0.4287, 0.0001, 0.2858, 1, 0.143, 0.8572, 0.4287, 0.8572, 0.4287, 0.4287, 0.143, 0.0001
1, 0.5715, 0.7858, 0.8572, 0.4287, 0.0001, 0.4287, 0.8572, 1, 0.8572, 0.0001, 1, 1, 0.8572, 0.8572, 0.4287, 0.143, 0.143, 0.3144, 0.8572
1, 0.143, 0.5715, 0.2858, 0.0001, 0.4287, 0.5715, 0.343, 0.7144, 0.8572, 0.4287, 0.7144, 0.143, 0.0001, 0.8572, 0.0001, 1, 1, 0.7144, 0.0001
1, 0.143, 1, 0.8572, 0.8572, 0.0001, 0.5715, 0.0001, 1, 0.8572, 0.4287, 1, 1, 0.0001, 0.4287, 0.8572, 0.143, 0.143, 0.4287, 0.8572
0.143, 1, 0.4287, 0.0001, 0.0001, 0.643, 1, 0.4287, 0.4287, 0.2858, 0.4287, 0.143, 0.143, 0.8572, 0.8572, 0.8572, 0.143, 0.5715, 0.5715, 0.8572
0.143, 0.4287, 0.5715, 0.8572, 0.0001, 0.4287, 1, 0.5715, 0.4287, 0.0001, 0.0001, 0.5715, 0.143, 0.5715, 0.8572, 0.5715, 1, 0.4287, 1, 0.8572
0.143, 0.143, 0.143, 0.5715, 0.8572, 0.0001, 0.4287, 0.8572, 1, 0.5715, 0.4287, 0.7858, 0.5715, 0.0001, 0.8572, 0.8572, 0.7858, 1, 1, 0.0001
1, 0.143, 1, 0.5715, 0.8572, 0.8572, 0.143, 0.4287, 0.5715, 0.4287, 0.0001, 1, 0.143, 0.4287, 0.5715, 0.0001, 0.5715, 0.143, 0.4287, 0.0001
0.143, 1, 0.7144, 0.4287, 0.8572, 0.8572, 0.143, 0.4287, 0.143, 0.8572, 0.4287, 0.143, 0.7144, 0.0001, 0.2858, 0.4287, 0.5715, 0.143, 0.143, 0.2858
0.143, 0.4287, 0.7144, 0.643, 0.4287, 0.0001, 0.4287, 0.8572, 0.4287, 0.6858, 0.0001, 0.143, 1, 0.8572, 0.8572, 0.8572, 0.143, 1, 0.5715, 0.0001
0.143, 0.5715, 0.143, 0.8572, 0.2858, 0.0001, 1, 0.4287, 0.5715, 0.8572, 0.4287, 1, 1, 0.8572, 0.4287, 0.2858, 1, 0.5715, 0.3572, 0.0001
0.143, 1, 0.5715, 0.8572, 0.8572, 0.4287, 0.143, 0.8572, 0.7144, 0.8572, 0.0001, 0.4287, 0.143, 0.4287, 0.8572, 0.2144, 0.143, 0.7144, 1, 0.0001
1, 0.5715, 0.143, 0.8572, 0.8572, 0.8572, 0.143, 0.8572, 0.4858, 0.8572, 0.8572, 0.143, 0.5715, 0.5715, 0.8572, 0.8572, 0.5715, 0.143, 0.5715, 0.4287
0.143, 0.143, 0.7144, 0.8572, 0.8572, 0.8572, 0.2858, 0.4287, 1, 0.643, 0.4287, 1, 0.4287, 0.8572, 0.8572, 0.4287, 0.143, 1, 0.143, 0.8572
0.143, 1, 0.5715, 0.4287, 0.8572, 0.8572, 0.4287, 0.0001, 0.3572, 0.8572, 0.8572, 0.7858, 1, 0.0001, 0.4287, 0.8572, 0.143, 0.4287, 1, 0.8572
1, 0.6572, 0.5715, 0.5715, 0.8572, 0.8572, 1, 0.0001, 0.5715, 0.2858, 0.0001, 1, 0.143, 0.8572, 0.4287, 0.4287, 0.5715, 0.5715, 1, 0.0001
